datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2016-06-30 18:00:00,9309832.788613992,9437055.808476774,8959361.730322387,8697787.308688313,8449638.547361307,8213204.938172688,7977538.241461811,7753601.237204663,7530384.597104179,7330541.626915414,7132217.3375133565,7015722.034456603,6904377.567763285,6803743.164773208,6705259.637409015,6587525.660756022,6473156.331570422,6356346.045422258,6235650.238792155,6113680.891472535,5992072.228379649,5836754.382050695,5679001.304067744,5482828.233592751,5282615.169811937,5128237.854655588,4978390.7748684175,4794823.698936995,4608963.372959622,4505098.904606067,4405794.627901562,4258749.999708853,4108749.9998268136,3958749.9998959335,3808749.999937701,3623437.49996325,3435937.499978407,3142499.9999877475,2842499.9999931077,2507187.4999962016,2169687.4999979534,1832187.499998928,1494687.4999994575,1192499.9999997315,892499.9999998746,651354.1666666097,413854.1666666439,223437.49999999223,35937.49999999912,13842.01388888886
2016-06-30 19:00:00,9205182.960329436,9331128.642235355,8858650.157069858,8599857.547689538,8354368.650712714,8120490.40436133,7887381.688492771,7665863.639368881,7445093.060092105,7247440.007888436,7051233.845356294,6935886.208569132,6825663.306743986,6755853.364743167,6650198.391776362,6549367.424984114,6445772.814060356,6337205.044439397,6221102.207816805,6102268.769253338,5984032.771348659,5835619.506992531,5682709.205434945,5490454.826107491,5290272.868793968,5131807.526457299,4981844.506306242,4801960.480282676,4617857.735412154,4510433.384745853,4411545.671150203,4267327.373271422,4117499.9989143866,3967499.9997483194,3817499.99985052,3634247.395745053,3446874.9999481025,3159617.1874704645,2859999.9999833675,2526747.3958241497,2189374.999995042,1851874.9999973965,1514374.9999986782,1210127.6041660109,909999.9999996924,665421.0069443039,427708.3333332765,234545.13888886917,46874.9999999972,15805.54832175912
2016-06-30 20:00:00,9106307.10543431,9231061.244648917,8763497.026980668,8507340.91892822,8264388.887229083,8032964.429959935,7802334.407393567,7583191.197188709,7364797.895724816,7169274.627759334,6975177.457973012,6861046.946733577,6751877.466621829,6653464.145542533,6603040.510646028,6509191.251157149,6417766.805193828,6317641.677353645,6206359.785599834,6090756.412269432,5975879.562181752,5834142.772730539,5686170.84696478,5497895.601572922,5297973.969258562,5135681.811334021,4985367.508754575,4808926.790394589,4626678.5748303,4515987.793999998,4417271.426933887,4275739.763623859,4126239.9273966514,3976249.999555904,3826249.99976151,3644937.130935471,3457805.056340734,3176373.893181876,2877477.6692441744,2546187.131061644,2209055.056415636,1871562.4999958016,1534062.499997862,1227875.3689225484,927507.4435758876,679688.1148724556,441574.905960554,245812.99189811488,57822.42476851294,18385.42396074423
2016-06-30 21:00:00,9009999.500364468,9133611.444184028,8670826.721202036,8417235.906709433,8176755.536976785,7947723.330831933,7719510.088509452,7502681.800445829,7286604.97164478,7093158.310695878,6901122.759063033,6788203.886193033,6680189.555111467,6582756.092098476,6554884.749919552,6414992.064071907,6385849.590116104,6297671.888150576,6191418.851833334,6079138.306398539,5967612.575511818,5832350.676468933,5689401.67868764,5505155.539921502,5305710.707451448,5139841.485762137,4988970.024967394,4815737.254834279,4635420.943010626,4521745.602743972,4422986.893557506,4283995.362921084,4134960.748849848,3984999.411869249,3834999.999668151,3655513.714902225,3468721.093997129,3192790.7110166457,2894913.2822980867,2565512.4124505757,2228721.094100587,1891249.5657855195,1553749.9999970084,1245736.2849015766,945028.9058876036,694144.2423800766,455464.84314704896,257232.4368850789,68788.54118440437,21577.0787494165
2016-06-30 22:00:00,8917892.915434605,9040443.78380221,8582312.985800901,8331232.736248367,8093136.279511886,7866378.582016132,7640442.486377348,7425789.538601656,7211895.888048906,7020414.472622825,6830340.135608853,6718577.375003137,6611673.601246393,6515225.0865360685,6505974.651519666,6324651.331394627,6350460.078919369,6277072.924497873,6176259.907217556,6067408.190308461,5959232.286267782,5830257.246383893,5692400.508916108,5512233.187638557,5313471.36695881,5144270.927458946,4992663.266967252,4822405.706592136,4644080.302414281,4527690.323487268,4428704.707014853,4292102.727958003,4143654.43170498,3993747.15638161,3843749.965300167,3665983.7481330913,3479617.330188846,3208886.6500079622,2912289.465631035,2584727.4631867087,2248367.254334976,1910935.4049358107,1573437.4746672786,1263703.7516151147,962570.1696632468,708779.1810846032,469387.80810227606,268795.9939170153,79781.10176694149,25376.49578807465
2016-06-30 23:00:00,8834856.823538505,8956542.919417065,8502625.63276307,8253815.5926507665,8017864.946652987,7793144.133537338,7569238.673218553,7356519.740919016,7144565.710401365,6954831.01515406,6766507.393799891,6655778.795631642,6549877.49982807,6454330.180952636,6360294.226296252,6244544.414659806,6312553.312752573,6246009.889552921,6160184.343760992,6055551.175700243,5950739.47023408,5827843.284351485,5695118.176326842,5519106.4198963335,5321231.394876605,5148962.954910923,4996464.706093566,4828944.266283588,4652650.980908769,4533804.32722078,4434434.339902621,4300070.549538753,4152313.910664325,4002491.747285416,3852499.801368417,3676353.4440882863,3490488.704541717,3224679.273002917,2929590.9680442056,2603835.2466577333,2267988.2665153383,1930618.929482692,1593124.8539322244,1281771.5521261322,980136.2952769347,723583.6554182785,483352.3048595456,280497.18307781016,90806.97047569338,29780.14011288658
2016-07-01 00:00:00,8747432.191143414,8868213.197394025,8418747.608406387,8172343.901190666,7938669.791453535,7716111.812042343,7494361.529853429,7283692.704705362,7073792.603697992,6885906.572575797,6699438.163022019,6589824.423581566,6485033.220029399,6390550.163249298,6297691.644633984,6183470.317575606,6272430.7201638585,6194311.585936045,6141567.736579787,6043448.443136735,5942126.7701845765,5824967.138342654,5697296.998374498,5525642.783801473,5328899.064442935,5153957.838711543,5000442.01220295,4835356.64514483,4661111.628374103,4540055.17471654,4440170.57188126,4307906.351681251,4160933.000330961,4011231.3724452727,3861249.3314568736,3686628.648217338,3501330.81432183,3240184.823160648,2946804.45249144,2622837.663733784,2287579.3403543574,1950298.8074748763,1612812.0083386237,1299933.8280644652,997731.6852596346,738549.2260766216,497365.8003087719,292330.398515066,101872.23287748096,34784.903279046615
2016-07-01 01:00:00,8663609.407859426,8783305.98231901,8338157.105581618,8094117.8077975,7862682.317466594,7642253.296077533,7422622.133082264,7213965.614652155,7006071.087030826,6819981.171340459,6635295.505416984,6526729.511002428,6422941.850780772,6329359.441067123,6237403.53258623,6124288.614337921,6230086.976613686,6130575.538281638,6119158.410510949,6030716.734875592,5933311.014902554,5821326.649008434,5698352.594199202,5531410.818851356,5336267.461819489,5159388.956615666,5004795.801145717,4841656.681718396,4669393.430325218,4546354.781029972,4445858.286889212,4315606.3067415,4169505.004681492,4019963.8478256464,3869998.275668099,3696814.854238528,3512139.854583138,3255418.3392952625,2963918.30743838,2641735.726406478,2307136.0758822053,1969973.5052247948,1632498.7382875276,1318185.0552467683,1015360.143589746,753668.2028622185,511434.83347852976,304290.7969530198,112982.29253967071,40388.05477859205
2016-07-01 02:00:00,8582687.986498142,8701290.66036705,8260289.271348216,8018518.782284387,7789236.709288812,7570860.722082699,7353277.248503585,7146567.218400883,6940612.278417546,6756256.904709823,6573289.053531663,6465722.992490856,6362879.204715788,6270112.654431881,6178925.660146838,6066695.832567091,6186340.474257664,6067153.201470548,6093320.925951916,6016971.275604257,5924126.760633928,5817041.714716956,5698513.723715973,5536422.595400344,5343382.5479487125,5165137.452434281,5009470.850581375,4847912.045135117,4677521.191698475,4552699.639566229,4451514.0807341775,4323169.24222288,4178022.620833943,4028686.5162077863,3878746.2178099686,3706917.217025739,3522912.56267154,3270393.7609947133,2980922.475954161,2660529.7102951515,2326654.388826841,1989641.3218450963,1652184.766358159,1336520.0200904573,1033024.9301029016,768933.5660712452,525565.1133592114,316374.199083662,124141.9552971133,46587.19943915543
2016-07-01 03:00:00,8505846.407623854,8623395.242903927,8186326.998903518,7946707.643976708,7719469.047524728,7503043.026275085,7287405.929645861,7082547.123727935,6878437.340038536,6695732.634284649,6514399.940091487,6407787.536547776,6305843.168063137,6213851.7206528615,6123390.255200128,6011983.984675126,6141697.619598598,5985108.429511785,6063330.941991969,6002058.294500249,5914464.646720309,5812208.541688731,5698001.055323957,5540803.604929973,5350271.155923443,5171103.863528942,5014397.3333274005,4854153.141606206,4685527.768033558,4559101.051140239,4457161.420266121,4330602.606928007,4186480.123214373,4037396.496812118,3887492.602030956,3716940.5648520384,3533646.166804989,3285124.0243726056,2997808.30090432,2679219.2882870366,2346130.449243224,2009300.417417659,1671869.7320941917,1354933.796955719,1050728.8103520055,784338.8956396796,539761.6064340462,328577.00241638965,135355.50285132576,53380.24005233563
