datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2016-06-30 18:00:00,19970420.059826456,19008470.680466305,18034775.427969463,17520027.47899774,17004641.511157423,16515916.19627041,16030062.791793518,15572317.434759598,15117701.271068608,14715538.332534146,14314972.430305138,14089805.632687831,13865128.802826967,13665546.22878668,13466580.882487452,13220518.41491606,12977594.284345211,12732909.903012585,12485696.286091335,12237710.84645062,11990008.641225986,11668377.2618273,11346487.964809977,10947475.75167166,10547272.791540593,10246280.249417022,9946448.360307297,9572661.236288017,9198745.426468473,8999555.29530166,8799997.548478067,8499999.999510033,8200000.004025001,7900000.002433876,7600000.001458812,7225000.000862553,6850000.000508633,6250000.000288665,5650000.000162613,4975000.000089392,4300000.000048148,3625000.0000252486,2950000.0000127805,2350000.000006333,1750000.0000029395,1275000.000001337,800000.0000005239,425000.0000001739,50000.00000001276,25000.000000004093
2016-06-30 19:00:00,19899797.66166652,18938310.906749856,17973144.28338237,17468440.64839629,16963821.20933973,16485067.613900064,16007559.484089948,15556179.753194457,15105847.409569692,14706108.240261504,14306721.923794562,14081616.609682424,13853721.402253997,13636145.462222174,13442010.483091136,13191349.642923605,12955167.03014591,12715784.376821555,12471411.259842629,12225464.409911864,11980064.865267904,11661774.271916049,11342972.951592922,10944974.239114882,10544572.54615278,10242614.51814165,9942946.301991126,9570353.797351884,9197510.72509694,8999117.34484834,8799992.625085367,8499999.977024123,8200000.005356405,7900000.00329057,7600000.001973325,7225000.001167346,6850000.000688708,6250000.000391057,5650000.000220391,4975000.000121204,4300000.000065314,3625000.0000342666,2950000.000017354,2350000.000008604,1750000.0000039958,1275000.000001818,800000.0000007127,425000.00000023656,50000.000000017375,25000.00000000568
2016-06-30 20:00:00,19825451.907870688,18867194.515772466,17909638.973239925,17412157.404658582,16914602.86662947,16441883.811128853,15969161.40589186,15521332.421359332,15073534.937911035,14675514.194927854,14277512.717201984,14053631.650334297,13829707.295921275,13629569.4996751,13408776.970999582,13162736.20526109,12932774.860923706,12698688.672170373,12457163.805688445,12213258.435049864,11970163.050335811,11655213.414887575,11339495.697635183,10942510.815155871,10541910.217256423,10238993.985208891,9939486.86342885,9568079.165752146,9196297.436320728,8998687.630052904,8799986.616004601,8499999.938944615,8200000.005047985,7900000.003203004,7600000.001921196,7225000.0011366205,6850000.000670644,6250000.000380838,5650000.000214645,4975000.000118042,4300000.000063613,3625000.00003338,2950000.000016906,2350000.0000083838,1750000.000003894,1275000.0000017711,800000.0000006944,425000.0000002304,50000.00000001693,25000.00000000568
2016-06-30 21:00:00,19773878.300765675,18817928.431920037,17862924.664991476,17366752.86684016,16870477.283999074,16398959.102537729,15927440.745195577,15480761.336727712,15034123.814252743,14637140.398448782,14240179.592617828,14016886.101036498,13793563.757440029,13594306.906894129,13375961.489027558,13142258.29206149,12910466.798101338,12681616.713616775,12442953.556648694,12201097.102809582,11960311.349184437,11648703.56905936,11336058.631824326,10940084.749276172,10539285.958892891,10235419.683818787,9936070.714826638,9565837.640650928,9195105.557470312,8998266.060679674,8799979.534998164,8499999.886101764,8200000.004646629,7900000.00311656,7600000.001870016,7225000.001106457,6850000.000652915,6250000.000370812,5650000.000209006,4975000.000114941,4300000.000061944,3625000.000032508,2950000.0000164662,2350000.000008167,1750000.0000037933,1275000.0000017255,800000.0000006768,425000.0000002245,50000.00000001651,25000.00000000568
2016-06-30 22:00:00,19722821.20164146,18769178.87824365,17816691.364473313,17321837.274231337,16826868.481568404,16356576.664928786,15886265.150789918,15440712.54368501,14995186.4742169,14599174.141491218,14203158.818879668,13980252.068533253,13756892.171266297,13555810.810922494,13348051.333249249,13114145.62985417,12888201.48492367,12664332.36847354,12428706.231294036,12189006.350926831,11950578.54220798,11642240.348073188,11332557.80823179,10937641.096903551,10536668.251959734,10231927.711887568,9932726.20242343,9563628.178635646,9193931.156360622,8997847.649904395,8799966.7981089,8499999.744498385,8200000.0035442095,7900000.003030239,7600000.001820534,7225000.001077225,6850000.000635699,6250000.000361065,5650000.000203517,4975000.000111919,4300000.000060317,3625000.000031657,2950000.000016038,2350000.000007955,1750000.000003695,1275000.0000016808,800000.0000006596,425000.00000021886,50000.00000001612,25000.00000000568
2016-06-30 23:00:00,19672576.84857244,18721174.589007232,17771175.806088876,17277636.47417473,16783977.350004014,16314920.395482846,15845826.85177038,15401414.775743833,14957027.98274756,14562042.355268229,14167111.480726007,13945027.893950144,13723086.621612225,13525781.505131036,13329033.780859357,13084439.292823896,12865406.145107975,12643981.660526296,12413838.416759688,12177084.250151252,11941298.28724754,11635756.372930655,11328341.022835469,10934779.47067777,10533828.33154523,10228799.170603689,9929703.77799294,9561446.245059384,9192733.641583504,8997376.357337369,8799891.980039861,8499997.430501645,8199999.951974114,7900000.002158323,7600000.00177143,7225000.001052619,6850000.000620863,6250000.000352607,5650000.000198647,4975000.000109188,4300000.000058817,3625000.000030865,2950000.000015635,2350000.000007755,1750000.0000036026,1275000.0000016384,800000.0000006431,425000.0000002133,50000.00000001572,25000.00000000568
2016-07-01 00:00:00,19625796.693232257,18676478.73786953,17728821.0029707,17236529.83453886,16744116.841547113,16276243.560447983,15808328.796049014,15365035.368269164,14921774.66375815,14527820.686504891,14133953.026799403,13912588.59918187,13691481.17682102,13495231.074007155,13300331.53252057,13059175.096881973,12840076.01014238,12619149.822910376,12396150.803651871,12165145.582174888,11932926.352031868,11628873.045879226,11321895.661524463,10930174.057681749,10530189.727537183,10226747.637211686,9927831.332225349,9559383.973121844,9191348.309826044,8996596.092560366,8799496.113498526,8499951.62677915,8199995.542292359,7899999.6591003155,7599999.980950921,7224999.999975383,6850000.000569665,6250000.00034925,5650000.000197283,4975000.000108154,4300000.000058046,3625000.000030407,2950000.0000153827,2350000.0000076285,1750000.0000035388,1275000.0000016077,800000.0000006306,425000.0000002089,50000.00000001547,25000.00000000568
2016-07-01 01:00:00,19581672.340940025,18634460.36132227,17688951.614526756,17197784.327425614,16706494.358966228,16239687.32696098,15772837.153941292,15330551.91118551,14888299.679331291,14495246.240963304,14102282.862031251,13881444.745018216,13660885.270537645,13465206.395226188,13271059.193069795,13031272.27407721,12812763.082697388,12592529.901865846,12377174.734992933,12152387.94171696,11923946.526166586,11621466.865208527,11315309.159804912,10925166.792044405,10526574.49346639,10224560.498257557,9926025.675950382,9557491.38100942,9189945.339150418,8995748.329914972,8799052.311719012,8499851.792660164,8199979.719890767,7899997.880973174,7599999.836641625,7224999.990783864,6850000.000065528,6250000.00032297,5650000.00019473,4975000.000106962,4300000.000057236,3625000.000029927,2950000.0000151214,2350000.000007496,1750000.0000034731,1275000.0000015765,800000.0000006178,425000.0000002046,50000.00000001522,25000.00000000568
2016-07-01 02:00:00,19539247.551730677,18594064.373995066,17650605.631741144,17160499.22307109,16670266.132106343,16204459.218331195,15738606.370301452,15297262.780160371,14855949.868015423,14463726.810516262,14071590.809597636,13851201.558592966,13631069.452853585,13435743.886383992,13241940.314691966,13002821.424900604,12785085.899624556,12565688.180455675,12357851.23051893,12138915.31410234,11914280.062367462,11613762.651875785,11308872.48517976,10920243.339419516,10523038.897745589,10222168.930740723,9924087.272206504,9555673.909625482,9188580.458764402,8994914.17222936,8798626.209211998,8499728.929981811,8199953.652414148,7899994.120568248,7599999.46019698,7224999.962977074,6849999.998351942,6250000.000229533,5650000.0001883535,4975000.000105247,4300000.000056256,3625000.0000293697,2950000.000014827,2350000.0000073463,1750000.0000034012,1275000.0000015427,800000.0000006042,425000.0000002002,50000.00000001497,25000.00000000568
2016-07-01 03:00:00,19498266.52716455,18555048.57337078,17613567.481455766,17124482.266610075,16635265.677505486,16170420.160999203,15705526.231324129,15265088.058921032,14824678.01732552,14433250.747719558,14041906.568744062,13821937.666429756,13602211.738304935,13407177.238174176,13213568.389823755,12974772.541779906,12756300.10625854,12534311.33340699,12337618.935177792,12124928.43724366,11904124.088088932,11605890.803256089,11302589.129354876,10915490.865224691,10519578.400959317,10219649.345840348,9922029.401398886,9553878.714619895,9187258.56261108,8994115.986078488,8798231.645746313,8499603.264829107,8199922.940676342,7899988.910588234,7599998.855089433,7224999.912972402,6849999.994990307,6250000.000038166,5650000.000176626,4975000.000102994,4300000.000055125,3625000.00002875,2950000.000014505,2350000.0000071847,1750000.0000033244,1275000.000001507,800000.0000005901,425000.0000001955,50000.0000000147,25000.00000000568
2016-07-01 04:00:00,19458672.663912475,18517423.484916378,17577837.46143563,17089734.611261163,16601504.383271703,16137598.473467547,15673645.816771263,15234099.5731116,14794580.33200968,14403942.19379285,14013384.886291916,13793852.634014493,13574563.544514712,13379859.38492176,13186504.408538723,12947968.62744832,12724012.021284578,12495594.735673591,12315555.144837389,12110333.97484752,11893585.058833772,11597846.336051073,11296289.932607869,10910752.051497169,10516124.002742734,10217094.707137426,9919958.1087919,9552121.060496742,9185964.326470545,8993325.788539143,8797838.13264145,8499469.482877439,8199887.570712212,7899982.136545644,7599997.97105551,7224999.832492425,6849999.989144014,6249999.999691189,5650000.000156928,4975000.000100313,4300000.000053937,3625000.000028111,2950000.000014176,2350000.0000070203,1750000.000003247,1275000.0000014722,800000.000000576,425000.000000191,50000.00000001444,25000.00000000568
2016-07-01 05:00:00,19471869.81948642,18532000.049038496,17586784.90337383,17091507.252119258,16595999.564398983,16125719.625820652,15656748.216269253,15213572.396045018,14771674.03056487,14379563.251915224,13988229.696032893,13768128.532435749,13548626.579351855,13353876.445895383,13160446.579539211,12921461.849573491,12684562.695919173,12451623.773049325,12291562.033984004,12095023.981678352,11882677.017436674,11589623.382931665,11289929.218501233,10905986.198019274,10512657.603615748,10214529.224530712,9917900.930497222,9550404.224758172,9184694.214892436,8992537.26959047,8797438.387602786,8499326.241775,8199847.54255314,7899973.707051048,7599996.761254487,7224999.713486333,6849999.980564567,6249999.999580982,5650000.000397597,4975000.000250352,4300000.000137165,3625000.000072799,2950000.0000373377,2350000.000018776,1750000.000008832,1275000.000004073,800000.0000016191,425000.0000005455,50000.00000004121,25000.000000014526
2016-07-01 06:00:00,19598144.751266062,18657507.672454264,17692422.413004313,17175019.27536688,16657045.916291032,16166874.690148097,15681740.150428526,15226342.174190143,14775666.224804545,14377485.021654746,13982063.027115488,13759260.01639844,13537996.197507774,13341900.826907735,13146794.494501935,12903839.5580365,12663383.912741106,12430237.947018078,12215598.814937128,12072068.89870239,11870955.320324425,11581194.841510665,11283498.144760866,10901190.41497232,10509178.564795528,10211960.100116102,9915862.667740606,9548725.720502151,9183447.719131663,8991751.445092482,8797032.846150437,8499174.591653762,8199803.191481629,7899963.659190204,7599995.202899356,7224999.550890435,6849999.969921523,6250000.000637426,5650000.001484532,4975000.000886518,4300000.000489362,3625000.0002622814,2950000.0001357407,2350000.000068822,1750000.0000326568,1275000.000015188,800000.0000060872,425000.0000020663,50000.00000015601,25000.000000052503
